Country Name,Country Code,Region,Adolescent fertility rate ,Adolescents out of school,"Children out of school, primary",Cost of business start-up procedures,Employment in agriculture ,Employment in industry,Employment in services,Firms with female participation in ownership,Labor force participation rate,Labor force with advanced education,Labor force,Life expectancy at birth,"Literacy rate, adult",Literacy rate youth ,"Population, female ",Prevalence of HIV ,Primary completion rate,Proportion of seats held by women in national parliaments,Self-employed,Start-up procedures to register a business,Time required to start a business,"Unemployment, female",Vulnerable employment,Wage and salaried workers
Malaysia,MYS,East Asia & Pacific,13.5196,10.41541958,17732,11.1,5.889999866,20.04999924,74.05999756,NA,51.33,NA,38.55332673,78.317,93.64668274,96.97590637,48.59695631,0.1,101.9020767,14.41441441,28.76000023,9,18,3.64,27.09999943,71.23999786
Namibia,NAM,Sub-Saharan Africa,59.637,37.68870926,19807892,8.9,20.10000038,7.889999866,72.01000214,55.95,55.77,NA,49.24811145,66.516,58.8786087,73.63633728,51.53937184,5.3,68.23358154,42.70833333,43.45000076,10,54,18.53,38.57000113,56.54999924
New Caledonia,NCL,East Asia & Pacific,14.0804,8.193099976,3203703,15.76551724,0.850000024,7.46999979,91.68000031,NA,57.76,NA,45.63489378,80.4,94.17939758,98.71144867,49.70027267,NA,98.52411652,20.50381494,12.96000004,6.233448276,22.89103448,16.71,10.91999954,87.04000092
Niger,NER,Sub-Saharan Africa,180.4888,37.68870926,886775,7.9,69.47000122,9.350000381,21.18000031,55.95,60.8,NA,42.45016558,63.621,58.8786087,73.63633728,49.74646213,0.1,57.30694962,16.95906433,98.23000336,4,10,0.37,97.97999954,1.769999981
Nigeria,NGA,Sub-Saharan Africa,103.564,37.68870926,19807892,26.1,23.56999969,12.86999989,63.56999969,55.95,48.52,75.77999878,43.134099,55.619,58.8786087,73.63633728,49.32820049,0.6,68.23358154,3.38028169,85.37000275,7,7.23,7.45,85.21000385,14.63000011
Nicaragua,NIC,Latin America & Caribbean,81.6196,5.755290031,705753,65.7,8.229999542,12.28999996,79.48000336,41.97058824,49.74,75.91955584,38.48822256,77.982,93.89594269,98.78559113,50.71449818,0.1,98.29325867,44.56521739,48.36999893,7,14,5.16,45.31000137,51.63000107
Netherlands,NLD,Europe & Central Asia,3.6176,2.27173996,513874,4,1.379999995,6.260000229,92.36000061,37.8,59,79.88999939,46.3616219,83.6,97.94228363,99.67472076,50.19726418,0.1,98.70014191,31.33333333,13.14999962,4,3.5,3.36,10.98000032,86.84999847
Norway,NOR,Europe & Central Asia,5.0686,2.139679909,513874,0.8,1.039999962,6.869999886,92.08999634,37.8,60.59,82.98999786,46.96891149,84.7,97.94228363,99.67472076,49.49092363,NA,100.2930374,40.82840237,4.150000095,4,4,3.39,3.320000082,95.84999847
Nepal,NPL,South Asia,63.677,1.278650045,7920938,20.2,74.08000183,8.619999886,17.29999924,NA,81.52,30.56999969,55.77130342,72.208,64.64469147,88.12921906,54.39517993,0.1,123.2130203,32.72727273,87.88999939,8,22.5,2.73,87.47000122,12.10999966
Nauru,NRU,East Asia & Pacific,20.63766918,3.504669905,3203703,15.76551724,22.06199784,20.43466903,57.4970551,NA,58.83829784,NA,43.34677843,78.88453583,94.17939758,98.71144867,49.32095673,NA,107.627121,10.52631579,45.15214845,6.233448276,22.89103448,3.433555797,43.85652136,54.8478527
New Zealand,NZL,East Asia & Pacific,17.9392,0.02619,3203703,0.2,3.720000029,8.93999958,87.33999634,NA,64.88,NA,47.89140353,83.5,94.17939758,98.71144867,50.8439991,0.1,98.52411652,40.83333333,14.63000011,1,0.5,4.38,10.33999997,85.37000275
Oman,OMN,Middle East & North Africa,12.3368,12.42323971,1534877,3.1,0.300000012,4.099999905,95.59999847,NA,35.97,NA,15.41496947,80.343,72.77185059,87.97827148,33.98083856,0.101104596,105.5587311,2.325581395,4.440000057,5,5,7.37,3.799999893,95.55999756
Pakistan,PAK,South Asia,37.6192,15.38963985,7920938,6.7,65.18000031,16.81999969,18.01000023,NA,21.67,30.56999969,20.12248489,68.287,46.49003983,65.18557739,48.53858293,0.1,67.6683197,20.23460411,70.26999664,5,16.5,4.32,70.16999817,29.72999954
Panama,PAN,Latin America & Caribbean,80.2492,5.755290031,705753,5.8,8.25,9.5,82.26000214,41.97058824,54.86,80.27999878,40.99632696,81.756,95.35887909,98.85900879,49.92431307,0.1,98.29325867,21.12676056,36.72999954,5,6,5.82,34.72000027,63.27000046
Peru,PER,Latin America & Caribbean,55.0216,5.755290031,705753,9.4,26.34000015,8.279999733,65.38999939,41.97058824,70.58,79.81999969,45.80471579,79.507,93.89594269,98.78559113,50.32909406,0.1,95.95271301,30,61.31999969,8,26,3.28,58.68000031,38.68999863
Philippines,PHL,East Asia & Pacific,55.3644,7.261250019,221332,23.3,13.60999966,9.699999809,76.69000244,NA,47.05,NA,39.35710411,75.505,96.85243225,98.89290619,49.76158985,0.1,105.0517731,27.96052632,39.56999969,13,33,2.53,37.40999985,60.43000031
Palau,PLW,East Asia & Pacific,20.63766918,8.193099976,3203703,2.2,22.06199784,20.43466903,57.4970551,NA,58.83829784,NA,43.34677843,78.88453583,94.17939758,98.71144867,49.32095673,NA,98.52411652,12.5,45.15214845,8,28,3.433555797,43.85652136,54.8478527
Papua New Guinea,PNG,East Asia & Pacific,51.309,8.193099976,3203703,18.6,60.13999939,5.119999886,34.75,NA,46.42,NA,48.67642887,65.82,94.17939758,98.71144867,48.95225327,0.3,98.52411652,0,84.91000366,6,41,1.29,84.01000214,15.09000015
Poland,POL,Europe & Central Asia,9.8004,4.327340126,11002,11.6,8.079999924,17.48999977,74.43000031,37,48.6,77.58000183,44.45802314,81.8,97.94228363,99.67472076,51.53966962,NA,94.45915985,28.69565217,15.68999958,5,37,3.6,12.98999977,84.30999756
Puerto Rico,PRI,Latin America & Caribbean,27.5156,5.755290031,705753,1.2,0.310000002,7.869999886,91.81999969,41.97058824,32.54,75.91955584,43.60396129,83.498,93.89594269,98.78559113,52.5477568,NA,98.29325867,31.66977612,9.340000153,6,5.5,6.02,6.02000016,90.66000366
"Korea, Dem. People's Rep.",PRK,East Asia & Pacific,0.289,8.193099976,3203703,15.76551724,47.15000153,8.329999924,44.52000046,NA,73.55,NA,47.08350566,75.744,94.17939758,98.71144867,51.0921658,NA,98.52411652,17.61280932,87.16999817,6.233448276,22.89103448,2.23,85.75999832,12.82999992
Portugal,PRT,Europe & Central Asia,7.6224,2.139679909,513874,1.9,3.619999886,15.01000023,81.37000275,37.8,54.72,83.09999847,49.21950115,83.5,97.94228363,99.67472076,52.70301378,0.1,99.15592194,38.69565217,12.84000015,6,6.5,7.15,9.680000454,87.16000366
Paraguay,PRY,Latin America & Caribbean,69.8608,5.755290031,705753,52.2,12.81000042,8.68999958,78.5,41.97058824,59.98,75.91955584,40.68519312,76.396,92.6553421,98.68419647,49.16860892,0.1,98.29325867,15,43.02000046,7,35,8.34,39.69000053,56.97999954
West Bank and Gaza,PSE,Middle East & North Africa,50.9996,0.562669992,8523,40.3,6.679999828,7.71999979,85.59999847,6,18.18,64.30999756,20.28599441,75.755,95.91488647,99.29688263,49.28456172,0.101104596,96.77159882,16.36363636,22.71999931,11,44,41.14,20,77.27999878
French Polynesia,PYF,East Asia & Pacific,38.286,8.193099976,3203703,15.76551724,3.789999962,5.489999771,90.72000122,NA,47.55,NA,43.40431699,79.898,94.17939758,98.71144867,49.33777324,NA,98.52411652,20.50381494,8.970000267,6.233448276,22.89103448,13.91,8.069999903,91.04000092
Qatar,QAT,Middle East & North Africa,9.2572,9.060319901,258,6.3,0.01,6.159999847,93.83000183,NA,56.64,NA,13.61126829,82.01,72.77185059,87.97827148,24.66569518,0.1,93.65133667,9.756097561,0.579999983,9,9.5,0.42,0.089999998,99.41999817
Romania,ROU,Europe & Central Asia,34.859,11.50417995,66026,0.3,21.01000023,20.92000008,58.06999969,32.4,45.6,81.51000214,42.90343968,79.3,97.94228363,99.67472076,51.36327408,0.1,84.95954895,21.88449848,22.54999924,6,20,3.38,21.92999935,77.44999695
Russian Federation,RUS,Europe & Central Asia,18.5402,2.139679909,513874,1,4.010000229,15.44999981,80.54000092,34,54.58,61.52999878,48.6028736,78.17,97.94228363,99.67472076,53.65606867,NA,104.7473526,15.77777778,6.690000057,4,10.1,4.42,5.630000204,93.30999756
Rwanda,RWA,Sub-Saharan Africa,38.59,2.001410007,59284,0,70.98000336,2.74000001,26.28000069,26.5,83.89,65.55999756,51.716065,71.132,58.8786087,73.63633728,50.85042787,1.2,104.1285095,61.25,76.33000183,5,4,1.02,76.28000259,23.68000031
Saudi Arabia,SAU,Middle East & North Africa,6.87,12.42323971,1534877,5.4,0.330000013,2.109999895,97.55999756,NA,22.09,NA,15.80625933,76.759,72.77185059,87.97827148,42.26909477,0.1,95.95326996,19.86754967,1.330000043,4,11,22.97,1.110000033,98.66999817
Sudan,SDN,Sub-Saharan Africa,57.599,37.68870926,19807892,17.8,51.83000183,4.690000057,43.47999954,55.95,29.36,NA,30.57563825,67.187,58.8786087,73.63633728,50.04359049,0.1,68.23358154,24.07811603,63.49000168,10,35,28.82,61.8599987,36.52000046
Senegal,SEN,Sub-Saharan Africa,68.707,37.68870926,274164,22.6,24.75,5.420000076,69.83999634,55.95,35.12,NA,40.51047102,69.918,58.8786087,73.63633728,51.2379941,0.1,67.19380188,41.81818182,70.23999786,4,6,7.02,69.78999901,29.76000023
Singapore,SGP,East Asia & Pacific,3.4968,0.191479996,3203703,0.4,0.01,10.97999954,89.01000214,NA,61.91,NA,41.7306806,85.7,96.134758,99.94290161,47.65598794,0.1,97.81577301,23,8.680000305,2,1.5,3.16,6.150000155,91.31999969
Solomon Islands,SLB,East Asia & Pacific,78.8202,8.193099976,2052,27.4,37.61999893,5.5,56.88999939,NA,82.11,NA,48.61574611,74.866,94.17939758,98.71144867,49.15328125,NA,88.33862305,4.081632653,72.43000031,7,9,0.62,72.09000015,27.56999969
Sierra Leone,SLE,Sub-Saharan Africa,107.6284,37.68870926,19807892,7.6,51.47000122,1.529999971,47.00999832,55.95,57.53,NA,49.92618641,55.495,58.8786087,73.63633728,50.10563524,1.3,83.71469116,12.32876712,95.97000122,5,8,3.58,92.94999886,4.03000021
El Salvador,SLV,Latin America & Caribbean,67.7682,21.48596954,51633,43.3,3.440000057,17.67000008,78.90000153,41.97058824,45.37,80.05000305,41.98802551,77.842,87.31858826,98.68683624,53.15209458,0.1,98.29325867,30.95238095,47.36000061,9,16.5,3.7,43.44999886,52.63999939
San Marino,SMR,Europe & Central Asia,16.18400554,15.87901974,513874,8.8,6.861719945,13.2434062,79.89597166,37.8,50.57350475,89.30000305,45.297962,81.22851322,97.94228363,99.67472076,51.51342425,NA,114.9068298,25,13.9490668,7,11.5,6.77215351,12.03216161,86.05187916
Somalia,SOM,Sub-Saharan Africa,95.2054,37.68870926,19807892,198.2,83.88999939,0.790000021,15.31999969,55.95,22.21,NA,23.51598387,59.132,58.8786087,73.63633728,50.13764896,0.1,68.23358154,24.36363636,96.91000366,9,70,13.18,96.45999908,3.089999914
